GO.Term.Accession,HGNC.symbol
GO:0030173,ST8SIA5
GO:0008373,ST8SIA5
GO:0006486,ST8SIA5
GO:0005975,ST8SIA5
,C21orf37
,ST8SIA5
GO:0000922,CEP95
GO:0005813,CEP95
GO:0005737,CEP95
GO:0005515,CEP95
,CEP95
GO:0016972,QSOX2
GO:0045454,QSOX2
GO:0031965,QSOX2
GO:0055114,QSOX2
GO:0005576,QSOX2
GO:0005886,QSOX2
GO:0016021,QSOX2
GO:0086067,CXADR
GO:0070633,CXADR
GO:0046629,CXADR
GO:0071253,CXADR
GO:0048739,CXADR
GO:0019048,CXADR
GO:0050839,CXADR
GO:0010669,CXADR
GO:0045216,CXADR
GO:0016327,CXADR
GO:0001618,CXADR
GO:0030593,CXADR
GO:0007157,CXADR
GO:0008013,CXADR
GO:0008354,CXADR
GO:0051607,CXADR
GO:0050900,CXADR
GO:0005911,CXADR
GO:0060044,CXADR
GO:0030165,CXADR
GO:0001669,CXADR
GO:0044297,CXADR
GO:0030426,CXADR
GO:0030175,CXADR
GO:0007005,CXADR
GO:0031532,CXADR
GO:0042802,CXADR
GO:0031594,CXADR
GO:0007596,CXADR
GO:0043005,CXADR
GO:0005102,CXADR
GO:0005178,CXADR
GO:0005912,CXADR
GO:0043234,CXADR
GO:0034109,CXADR
GO:0016323,CXADR
GO:0014704,CXADR
GO:0045121,CXADR
GO:0030054,CXADR
GO:0007507,CXADR
GO:0005615,CXADR
GO:0005923,CXADR
GO:0050776,CXADR
GO:0005576,CXADR
GO:0005887,CXADR
GO:0005515,CXADR
GO:0005886,CXADR
GO:0005634,CXADR
GO:0016337,CXADR
GO:0036265,RNMT
GO:0004482,RNMT
GO:0006370,RNMT
GO:0005845,RNMT
GO:0008152,RNMT
GO:0008168,RNMT
GO:0005654,RNMT
GO:0010467,RNMT
GO:0016032,RNMT
GO:0005730,RNMT
GO:0006366,RNMT
GO:0005515,RNMT
GO:0005634,RNMT
GO:0003723,RNMT
GO:0060766,PIAS2
GO:0045667,PIAS2
GO:0050681,PIAS2
GO:0016607,PIAS2
GO:0030521,PIAS2
GO:0016604,PIAS2
GO:0003713,PIAS2
GO:0019789,PIAS2
GO:0016925,PIAS2
GO:0031625,PIAS2
GO:0016605,PIAS2
GO:0003677,PIAS2
GO:0045893,PIAS2
GO:0003676,PIAS2
GO:0008270,PIAS2
GO:0045944,PIAS2
GO:0006351,PIAS2
GO:0005515,PIAS2
GO:0005634,PIAS2
GO:0006357,PIAS2
,GALK2
,RNMT
GO:0045930,BTG3
GO:0008285,BTG3
GO:0005737,BTG3
GO:0005515,BTG3
GO:0005739,C15orf62
GO:0033858,GALK2
GO:0046835,GALK2
GO:0004335,GALK2
GO:0006012,GALK2
GO:0005975,GALK2
GO:0005737,GALK2
GO:0005524,GALK2
GO:0010466,EPPIN-WFDC6
GO:0004867,EPPIN-WFDC6
GO:0042742,EPPIN-WFDC6
GO:0030414,EPPIN-WFDC6
GO:0009986,EPPIN-WFDC6
GO:0005576,EPPIN-WFDC6
GO:0005515,EPPIN-WFDC6
GO:0005488,DOCK3
GO:0017124,DOCK3
GO:0005085,DOCK3
GO:0007264,DOCK3
GO:0005737,DOCK3
GO:0005515,DOCK3
,BTG3
GO:0002014,MANF
GO:0006986,MANF
GO:0005615,MANF
GO:0048471,MANF
GO:0008083,MANF
GO:0008150,MANF
GO:0005575,MANF
GO:0003674,MANF
,MANF
GO:0004867,WFDC8
GO:0030414,WFDC8
GO:0005576,WFDC8
GO:0019048,RBM15B
GO:0000381,RBM15B
GO:0008380,RBM15B
GO:0006397,RBM15B
GO:0005654,RBM15B
GO:0003676,RBM15B
GO:0006351,RBM15B
GO:0005515,RBM15B
GO:0005634,RBM15B
GO:0003723,RBM15B
GO:0000166,RBM15B
GO:0005576,WFDC9
GO:0016773,GALK2
GO:0016301,GALK2
GO:0005488,MROH1
,C21orf91
GO:0005515,MROH1
GO:0005862,TPM1
GO:0032059,TPM1
GO:0008307,TPM1
GO:0030049,TPM1
GO:0003065,TPM1
GO:0030016,TPM1
GO:0032781,TPM1
GO:0060048,TPM1
GO:0008016,TPM1
GO:0001725,TPM1
GO:0034614,TPM1
GO:0045214,TPM1
GO:0006937,TPM1
GO:0006936,TPM1
GO:0030017,TPM1
GO:0055010,TPM1
GO:0051496,TPM1
GO:0031529,TPM1
GO:0031941,TPM1
GO:0006928,TPM1
GO:0042060,TPM1
GO:0030336,TPM1
GO:0032587,TPM1
GO:0015629,TPM1
GO:0005200,TPM1
GO:0001701,TPM1
GO:0003779,TPM1
GO:0008092,TPM1
GO:0005856,TPM1
GO:0045785,TPM1
GO:0007010,TPM1
GO:0005829,TPM1
GO:0005737,TPM1
GO:0009790,TPM1
,TPM1
GO:0019048,CRTC3
GO:0008140,CRTC3
GO:0032793,CRTC3
GO:0051289,CRTC3
GO:0005737,CRTC3
GO:0006351,CRTC3
GO:0005634,CRTC3
GO:0046872,ZFYVE19
GO:0008270,ZFYVE19
GO:0070545,BOP1
GO:0043021,BOP1
GO:0030687,BOP1
GO:0000466,BOP1
GO:0000463,BOP1
GO:0051726,BOP1
GO:0030529,BOP1
GO:0006364,BOP1
GO:0005654,BOP1
GO:0042254,BOP1
GO:0005730,BOP1
GO:0008283,BOP1
GO:0005515,BOP1
GO:0005515,CSTF1
GO:0007517,CHODL
GO:0030246,CHODL
GO:0048471,CHODL
GO:0005737,CHODL
GO:0016021,CHODL
GO:0005488,VPRBP
GO:0019048,VPRBP
GO:0008180,VPRBP
GO:0016567,VPRBP
GO:0005737,VPRBP
GO:0005515,VPRBP
GO:0005634,VPRBP
,CRTC3
,VPRBP
GO:0006369,CSTF1
GO:0006378,CSTF1
GO:0031124,CSTF1
GO:0006379,CSTF1
GO:0006396,CSTF1
GO:0000398,CSTF1
GO:0008380,CSTF1
GO:0005654,CSTF1
GO:0010467,CSTF1
GO:0006366,CSTF1
GO:0005634,CSTF1
GO:0003723,CSTF1
,ZFYVE19
GO:0035992,
GO:0003188,
GO:0035989,
GO:0061035,
GO:0035993,
GO:0035990,
GO:0043425,
GO:0070888,
GO:0032967,
GO:2000543,
GO:0003179,
GO:0061036,
GO:0002062,
GO:0030199,
GO:0060008,
GO:0030509,
GO:0001707,
GO:0001958,
GO:0001894,
GO:0010628,
GO:0046983,
GO:0043565,
GO:0008284,
GO:0046982,
GO:0003677,
GO:0043066,
GO:0045893,
GO:0030154,
GO:0045944,
GO:0006351,
GO:0005667,
GO:0005634,
GO:0004867,WFDC10A
GO:0030414,WFDC10A
GO:0005576,WFDC10A
GO:0005576,WFDC11
GO:0030032,CYFIP1
GO:0043005,CYFIP1
GO:0005845,CYFIP1
GO:0030027,CYFIP1
GO:0048471,CYFIP1
GO:0030414,WFDC10B
GO:0005576,WFDC10B
GO:0004867,WFDC13
GO:0005576,WFDC13
GO:0004867,SPINT4
GO:0005576,SPINT4
GO:0005903,TMPRSS15
GO:0003824,TMPRSS15
GO:0005044,TMPRSS15
GO:0004252,TMPRSS15
GO:0016020,TMPRSS15
GO:0006508,TMPRSS15
GO:0005515,TMPRSS15
GO:0016021,TMPRSS15
,TMPRSS15
GO:0090231,HSF1
GO:0060136,HSF1
GO:0045120,HSF1
GO:0040018,HSF1
GO:0009408,HSF1
GO:0032720,HSF1
GO:0001892,HSF1
GO:0043234,HSF1
GO:0006468,HSF1
GO:0003682,HSF1
GO:0032496,HSF1
GO:0043565,HSF1
GO:0006355,HSF1
GO:0007143,HSF1
GO:0007283,HSF1
GO:0003677,HSF1
GO:0008285,HSF1
GO:0005737,HSF1
GO:0006351,HSF1
GO:0003700,HSF1
GO:0005634,HSF1
GO:0003712,RAD54L2
GO:0004386,RAD54L2
GO:0019901,RAD54L2
GO:0016787,RAD54L2
GO:0003677,RAD54L2
GO:0003676,RAD54L2
GO:0005524,RAD54L2
GO:0005634,RAD54L2
GO:0001162,HSF1
GO:0034605,HSF1
GO:0045944,HSF1
GO:0005515,HSF1
GO:0048675,CYFIP1
GO:0048365,CYFIP1
GO:0031529,CYFIP1
GO:0051015,CYFIP1
GO:0045202,CYFIP1
GO:0008360,CYFIP1
GO:0001726,CYFIP1
GO:0030054,CYFIP1
GO:0005737,CYFIP1
GO:0005515,CYFIP1
,HSF1
,CYFIP1
GO:0005524,KATNAL2
GO:0030414,WFDC3
GO:0005576,WFDC3
GO:0004867,WFDC3
GO:0005515,KATNAL2
GO:0000155,CASS4
GO:0005925,CASS4
GO:0007155,CASS4
GO:0005856,CASS4
GO:0016020,CASS4
GO:0005737,CASS4
GO:0005515,CASS4
GO:0009378,KATNAL2
GO:0017111,KATNAL2
GO:0008017,KATNAL2
GO:0006310,KATNAL2
GO:0006281,KATNAL2
GO:0051013,KATNAL2
GO:0008568,KATNAL2
GO:0005874,KATNAL2
GO:0005737,KATNAL2
GO:0000166,KATNAL2
GO:0004864,PPP1R14D
GO:0042325,PPP1R14D
GO:0005737,PPP1R14D
GO:0035304,PPP1R14D
GO:0004449,IDH3B
GO:0006734,IDH3B
GO:0006103,IDH3B
GO:0016616,IDH3B
GO:0006102,IDH3B
GO:0044237,IDH3B
GO:0009055,IDH3B
GO:0051287,IDH3B
GO:0005759,IDH3B
GO:0006099,IDH3B
GO:0044281,IDH3B
GO:0000287,IDH3B
GO:0055114,IDH3B
GO:0005739,IDH3B
GO:0007158,NCAM2
GO:0030424,NCAM2
GO:0005515,NCAM2
GO:0005886,NCAM2
GO:0016021,NCAM2
GO:0007608,NCAM2
GO:0007413,NCAM2
GO:0007155,NCAM2
GO:0016020,NCAM2
,FAM227B
GO:0004977,MC5R
GO:0042562,MC5R
GO:0004930,MC5R
GO:0007186,MC5R
GO:0005886,MC5R
GO:0016021,MC5R
GO:0007187,MC5R
GO:0030819,MC5R
GO:0005887,MC5R
GO:0005515,MC5R
GO:0004978,MC2R
GO:0007187,MC2R
GO:0004977,MC2R
GO:0030819,MC2R
GO:0004930,MC2R
GO:0007186,MC2R
GO:0005887,MC2R
GO:0005515,MC2R
GO:0005886,MC2R
GO:0016021,MC2R
GO:0001890,MC2R
GO:0005737,MC2R
GO:0050252,DGAT1
GO:0036155,DGAT1
GO:0035336,DGAT1
GO:0004144,DGAT1
GO:0003846,DGAT1
GO:0016310,DGAT1
GO:0034379,DGAT1
GO:0046474,DGAT1
GO:0055089,DGAT1
GO:0046339,DGAT1
GO:0006644,DGAT1
GO:0019915,DGAT1
GO:0016772,DGAT1
GO:0006641,DGAT1
GO:0016746,DGAT1
GO:0044281,DGAT1
GO:0044255,DGAT1
GO:0019432,DGAT1
GO:0005789,DGAT1
GO:0005515,DGAT1
GO:0016021,DGAT1
GO:0016787,LACTB
GO:0005739,LACTB
GO:0005737,LACTB
GO:0006355,SCRT1
GO:0003677,SCRT1
GO:0046872,SCRT1
GO:0006351,SCRT1
GO:0003700,SCRT1
GO:0005634,SCRT1
GO:0006355,ZNF519
GO:0005622,ZNF519
GO:0003676,ZNF519
GO:0003677,ZNF519
GO:0046872,ZNF519
GO:0006351,ZNF519
GO:0005634,ZNF519
GO:0016021,
GO:0002003,CTSZ
GO:0044267,CTSZ
GO:0060441,CTSZ
GO:0005764,CTSZ
GO:0008234,CTSZ
GO:0005783,CTSZ
GO:0005615,CTSZ
GO:0006508,CTSZ
GO:0005886,CTSZ
GO:0072757,BLM
GO:0072711,BLM
GO:0009378,BLM
GO:0000729,BLM
GO:0051880,BLM
GO:0036310,BLM
GO:0000733,BLM
GO:0000405,BLM
GO:0000085,BLM
GO:0046641,BLM
GO:0043140,BLM
GO:0051098,BLM
GO:0051782,BLM
GO:0016818,BLM
GO:0031572,BLM
GO:0048478,BLM
GO:0046632,BLM
GO:0051259,BLM
GO:0045120,BLM
GO:0071479,BLM
GO:0045910,BLM
GO:0045950,BLM
GO:0001673,BLM
GO:0000228,BLM
GO:0016363,BLM
GO:0000724,BLM
GO:0044237,BLM
GO:0005657,BLM
GO:0010165,BLM
GO:0004386,BLM
GO:0000781,BLM
GO:0000079,BLM
GO:0000723,BLM
GO:0031297,BLM
GO:0002039,BLM
GO:0006260,BLM
GO:0006310,BLM
GO:0006281,BLM
GO:0006200,BLM
GO:0003697,BLM
GO:0016887,BLM
GO:0004003,BLM
GO:0016605,BLM
GO:0008026,BLM
GO:0000800,BLM
GO:0005730,BLM
GO:0003824,BLM
GO:0006974,BLM
GO:0005622,BLM
GO:0003677,BLM
GO:0045893,BLM
GO:0003676,BLM
GO:0005737,BLM
GO:0005524,BLM
GO:0005515,BLM
GO:0005634,BLM
GO:0000166,BLM
GO:0051276,BLM
GO:0070244,BLM
GO:0005761,MRPL39
GO:0008150,MRPL39
GO:0003674,MRPL39
GO:0000166,MRPL39
GO:0005739,MRPL39
,BLM
GO:0008150,RTFDC1
GO:0005575,RTFDC1
GO:0003674,RTFDC1
,RTFDC1
GO:0060670,SPINT1
GO:0060674,SPINT1
GO:0004867,SPINT1
GO:0030198,SPINT1
GO:0016020,SPINT1
GO:0005576,SPINT1
GO:0005515,SPINT1
GO:0001892,SPINT1
GO:0046983,EBF4
GO:0006355,EBF4
GO:0003677,EBF4
GO:0046872,EBF4
GO:0007275,EBF4
GO:0006351,EBF4
GO:0005515,EBF4
GO:0005634,EBF4
GO:0006184,TUBB1
GO:0051084,TUBB1
GO:0044267,TUBB1
GO:0051258,TUBB1
GO:0005200,TUBB1
GO:0043234,TUBB1
GO:0015630,TUBB1
GO:0051225,TUBB1
GO:0006457,TUBB1
GO:0005874,TUBB1
GO:0003924,TUBB1
GO:0005525,TUBB1
GO:0005737,TUBB1
GO:0005886,TUBB1
GO:0007017,TUBB1
,EBF4
GO:0010463,FGF7
GO:0061033,FGF7
GO:0051549,FGF7
GO:0010838,FGF7
GO:0060501,FGF7
GO:0050918,FGF7
GO:0048011,FGF7
GO:0034394,FGF7
GO:0042056,FGF7
GO:0007173,FGF7
GO:0005104,FGF7
GO:0060665,FGF7
GO:0031069,FGF7
GO:0008543,FGF7
GO:0050731,FGF7
GO:0008544,FGF7
